"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;VOITER;;0;4;3;7;201484;9550;192269;1692158046.450823
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;VOLKSWAGEN;;14;41;55;110;324006;288;323852;1692158046.450826
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;VOLVO;;0;1;0;1;8510;48;8501;1692158046.450829
2022;3;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;VOTORANTIM;20.82;293;440;128;861;14072909;10185831;5344217;1692158046.450831
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;VR;;3;1;0;4;77;60;18;1692158046.450834
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;WESTERN UNION;;4;2;2;8;1;1;;1692158046.450837
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;WILL;60.5;200;127;162;489;3305651;3305651;;1692158046.45084
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;991143;WORLDPAY DO BRASIL INSTITUICAO DE PAGAMENTO LTDA;;0;1;0;1;55;;55;1692158046.450844
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;XP;110.18;91;26;18;135;825881;818403;578173;1692158046.450847
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;YAMAHA MOTOR;;2;21;16;39;215003;166;214868;1692158046.450855
